City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Balikpapan,ID,75.06,light rain,-1.27,116.83,Swiss-Belhotel Balikpapan
Santa Cruz De Tenerife,ES,78.8,overcast clouds,28.47,-16.25,Hotel Silken Atlántida
Shiyan,CN,71.74,overcast clouds,32.65,110.78,Karen International Hotel
Geraldton,AU,60.8,broken clouds,-28.77,114.6,Broadwater Mariner Resort
Plouzane,FR,78.8,clear sky,48.38,-4.62,Résidence Nemea Iroise Armorique
Sao Paulo De Olivenca,BR,83.14,light rain,-3.38,-68.87,
Crestview,US,84.0,light rain,30.76,-86.57,Holiday Inn Express & Suites Crestview South I-10
Constitucion,CL,58.01,overcast clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
San Isidro,PE,68.0,overcast clouds,-12.12,-77.05,Radisson Hotel Decapolis Miraflores
Manggar,ID,83.32,overcast clouds,-2.88,108.27,Guest Hotel
Ojinaga,MX,86.0,clear sky,29.57,-104.42,Suites Las Palmas
Krasnoselkup,RU,54.23,overcast clouds,65.7,82.47,Krasnosel'kupnefteprodukt
Ahipara,NZ,60.17,moderate rain,-35.17,173.17,Ahipara Holiday Park
Vieux-Habitants,GP,87.8,broken clouds,16.06,-61.77,Gîtes Dardanelle
Lithakia,GR,75.2,few clouds,37.72,20.83,Zante Plaza Hotel & Apartments
Zheleznodorozhnyy,RU,68.0,overcast clouds,55.75,38.0,Hotel Dali
Barra,BR,84.99,clear sky,-11.09,-43.14,Pousada Bahia
Pamanukan,ID,79.92,overcast clouds,-6.28,107.81,Paris Day Hotel Pamanukan
Kendari,ID,77.5,light rain,-3.94,122.5,Hotel Wixel
Khatra,IN,88.54,broken clouds,22.98,86.85,Aranyak Resort Mukutmanipur
San Quintin,MX,65.07,overcast clouds,30.48,-115.95,Old Mill Hotel
Aksay,RU,84.2,clear sky,47.26,39.87,Chernaya Zhemchuzhina
Salta,AR,60.8,clear sky,-24.79,-65.41,Hotel Alejandro I
Zlitan,LY,71.71,clear sky,32.47,14.57,القسم الداخلي للجامعة الأسمرية
Ponta Delgada,PT,64.4,few clouds,37.73,-25.67,Vila Nova Hotel
Portland,US,66.99,overcast clouds,45.52,-122.68,Portland Marriott City Center
Cam Ranh,VN,86.0,few clouds,11.92,109.16,OYO 598 Peony Hotel
Quibdo,CO,82.31,light rain,5.69,-76.66,Hotel Angeles
San Buenaventura,MX,84.0,clear sky,27.08,-101.53,Hotel Gran Plaza
Washington,US,60.01,overcast clouds,47.5,-120.5,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
Bacolod,PH,81.86,overcast clouds,10.67,122.95,Planta Hotel & Residences
Ampanihy,MG,68.43,broken clouds,-24.7,44.75,Angora Hotel
Altamira,BR,85.55,light rain,-3.2,-52.21,Requinte Hotel
Carroll,US,72.0,moderate rain,39.55,-77.02,Best Western Westminster Hotel
Yatou,CN,59.18,clear sky,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
Lorengau,PG,80.31,light rain,-2.02,147.27,Lorengau Harbourside Hotel
Chandbali,IN,84.29,overcast clouds,20.78,86.77,KABITA HOMES
Puerto Escondido,MX,82.4,few clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
Hamilton,US,73.99,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
Noumea,NC,73.99,clear sky,-22.28,166.46,Hôtel Le Lagon
Vila,PT,89.01,scattered clouds,42.03,-8.16,Hotel Castrum Villae
Jimenez,MX,71.6,clear sky,28.33,-105.4,Hacienda Las Marias
Peterhead,GB,69.8,scattered clouds,57.51,-1.8,Palace Hotel
Porto Belo,BR,70.0,few clouds,-27.16,-48.55,Costa Verde Beach Hotel
Savasleyka,RU,66.83,broken clouds,55.46,42.32,
Preobrazheniye,RU,55.29,broken clouds,42.9,133.91,Campsite Orlan
Osoyoos,CA,57.2,broken clouds,49.03,-119.45,Watermark Beach Resort Hotel
Wanning,CN,80.42,overcast clouds,18.8,110.4,Paradise Hotel
Kirkland Lake,CA,73.4,broken clouds,48.14,-80.04,Comfort Inn
Cayenne,GF,82.4,light rain,4.93,-52.33,Hôtel Le Dronmi
Clarence Town,AU,55.99,light rain,-32.58,151.78,River Downs Cottage
Korla,CN,74.23,clear sky,41.76,86.15,Gulisitan Hotel
Bonga,ET,65.52,light rain,7.28,36.23,Harone Hotel ሀሮኔ ሆቴል
Poum,NC,75.67,broken clouds,-20.23,164.02,Gîte kajeon
Meulaboh,ID,81.12,overcast clouds,4.14,96.13,Kost Pria
Nouadhibou,MR,78.8,clear sky,20.93,-17.03,El Medina
Omboue,GA,77.94,light rain,-1.57,9.26,Hotel Olako
Paraiso,CR,77.0,light rain,9.84,-83.87,Rinconcito Verde
Carauari,BR,79.77,overcast clouds,-4.88,-66.9,Pousada Lobo
Port Hueneme,US,60.8,mist,34.15,-119.2,Hampton Inn Channel Islands Harbor
Paita,PE,75.2,clear sky,-5.09,-81.11,Hotel Náutico de Paita
Lima,PE,68.0,overcast clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
San Cristobal,VE,82.4,scattered clouds,7.77,-72.22,Pirineos
Sao Gabriel Da Cachoeira,BR,86.18,light rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
Fortuna,US,57.0,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
Tevaitoa,PF,81.99,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
Axim,GH,84.33,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
Superior,US,68.0,overcast clouds,46.72,-92.1,Holiday Inn Express & Suites Superior - Duluth Area
Havelock,US,75.0,light rain,34.88,-76.9,Holiday Inn Express and Suites Havelock
Neiafu,TO,69.8,few clouds,-18.65,-173.98,Mystic Sands
Rio Grande,BR,72.0,clear sky,-32.03,-52.1,Swan Express Rio Grande
Camp Verde,US,78.01,clear sky,34.56,-111.85,Days Inn by Wyndham Camp Verde Arizona
Rocha,UY,66.11,clear sky,-34.48,-54.33,Beleza Pura B&B
Zhukovka,RU,60.8,scattered clouds,53.53,33.73,Country Park Hotel Slavyanka
Carballo,ES,84.2,scattered clouds,43.21,-8.69,Pazo do Souto
Veszto,HU,68.0,few clouds,46.92,21.27,Origó Szálláshely
Thohoyandou,ZA,63.72,clear sky,-22.95,30.48,Masili Guesthouse & Conference
Tomatlan,MX,82.06,few clouds,19.93,-105.25,Norma franco
Palmerston,AU,73.4,scattered clouds,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
Kavaratti,IN,86.43,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
Canutama,BR,82.4,broken clouds,-6.53,-64.38,Hotel Jhennifer
Nieuwpoort,BE,68.0,few clouds,51.12,2.77,Hotel Gemeente Huis
Chagoda,RU,66.83,broken clouds,59.16,35.33,Rodnik
Lamar,US,73.0,light rain,33.67,-95.58,Kings Inn Paris TX
Majene,ID,78.8,light rain,-3.54,118.97,Kost Putri RABBANI
Iskateley,RU,56.7,overcast clouds,67.68,53.15,Hostel Agat
Georgiyevka,KZ,71.6,clear sky,43.04,74.71,Gostinitsa Dostyk 1 U Zheni
Providencia,MX,82.99,clear sky,28.72,-111.58,
Nelson Bay,AU,55.99,light rain,-32.72,152.15,Mantra Nelson Bay
Zhuanghe,CN,59.0,overcast clouds,39.7,122.99,Hanting Express Dalian Zhuanghe Qiansheng
Burnie,AU,50.0,scattered clouds,-41.07,145.92,Beachfront Voyager Motor Inn
Haines Junction,CA,52.32,clear sky,60.75,-137.51,Parkside Inn
Erzin,TR,71.01,clear sky,36.96,36.2,Artemis Otel
Gerede,TR,50.74,light rain,40.8,32.2,Hotel Konuk
Jaffna,LK,84.99,scattered clouds,9.67,80.01,Green Grass Hotel & Restaurant
Barstow,US,77.0,clear sky,34.9,-117.02,"Motel 6 Barstow, CA"
Marystown,CA,54.19,overcast clouds,47.17,-55.15,Marystown Hotel & Convention Centre
Arona,ES,80.01,few clouds,28.1,-16.68,Paradise Court
Surt,LY,70.54,clear sky,31.21,16.59,City Hotel
Zharkovskiy,RU,66.0,broken clouds,55.85,32.27,"Gostinitsa ""Mezha"""
Aquiraz,BR,87.8,broken clouds,-3.9,-38.39,Pousada Rua Camurupim
