City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Codo,BR,88.66,scattered clouds,-4.46,-43.89,Hotel Porto do Sol
Vientiane,LA,77.18,light rain,17.97,102.6,Don Chan Palace Hotel & Convention
Bud,US,68.0,overcast clouds,39.45,-86.18,Madsion Scouts Camp
Antofagasta,CL,64.4,broken clouds,-23.65,-70.4,Hotel Terrado Suites Antofagasta
Fare,PF,81.59,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
Clayton,US,75.99,light intensity drizzle,33.53,-84.37,Royal Inn
Inirida,CO,82.69,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
Tres Arroyos,AR,57.02,overcast clouds,-38.37,-60.28,Habitacion Triple con baño y entrada privada
Praia Da Vitoria,PT,64.4,few clouds,38.73,-27.07,Hotel Branco I
Lashio,MM,66.27,light rain,22.93,97.75,Hotel CF Lashio - Burmese Only
Shu,KZ,77.0,clear sky,43.6,73.76,Shyngyzkhan
Dunmore Town,BS,79.0,broken clouds,25.5,-76.65,Coral Sands Hotel
Eganville,CA,79.0,scattered clouds,45.53,-77.1,Egan Inn
College,US,50.0,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
Leh,IN,51.12,broken clouds,34.17,77.58,Hotel Ladakh Greens
Wajima,JP,59.99,clear sky,37.4,136.9,Wajiima Onsen Yashio
Chirongui,YT,80.6,scattered clouds,-12.93,45.15,La Villa Mahatsara
Vila Franca Do Campo,PT,64.4,few clouds,37.72,-25.43,Pestana Bahia Praia
Altay,CN,55.18,broken clouds,47.87,88.12,Jinqiao Hotel
Hofn,IS,50.0,haze,64.25,-15.21,Hótel Höfn
Broome,US,75.0,overcast clouds,42.25,-75.83,Chenango Valley State Park
Ponta Do Sol,PT,71.01,broken clouds,32.67,-17.1,Hotel do Campo
Trelew,AR,52.97,overcast clouds,-43.25,-65.31,Hotel Touring Club
Le Port,RE,75.2,clear sky,-20.94,55.29,Villa Maido
Port Hedland,AU,66.2,broken clouds,-20.32,118.57,The Esplanade Hotel
Port Blair,IN,84.63,overcast clouds,11.67,92.75,Hotel Sentinel
Nishihara,JP,77.0,overcast clouds,26.18,127.76,Minshuku Agaihama
Saint-Leu,RE,75.2,clear sky,-21.15,55.28,La Caz Oceane
Georgetown,MY,86.0,few clouds,5.41,100.34,Cititel Penang
Wattegama,LK,79.84,light rain,6.8,81.48,
Kuandian,CN,52.95,clear sky,40.73,124.78,Hi Inn Dandong Kuandian Ji Xian Garden
Robertson,US,73.4,overcast clouds,36.52,-86.87,Hampton Inn Springfield
Ranong,TH,82.63,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
Saint Anthony,US,68.0,overcast clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
Sungairaya,ID,80.58,broken clouds,0.7,108.9,808 artel
Margate,GB,62.01,clear sky,51.38,1.39,Premier Inn Margate hotel
Ambanja,MG,75.52,clear sky,-13.68,48.45,Hotel Marrakech
Turayf,SA,89.6,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
Fort Nelson,CA,50.0,few clouds,58.81,-122.7,The Fort Nelson Hotel
Yarmouth,US,71.01,scattered clouds,41.71,-70.23,The Inn At Cape Cod
Catamarca,AR,66.99,clear sky,-28.47,-65.79,Amerian Catamarca Park Hotel
Cockburn Town,TC,84.2,broken clouds,21.46,-71.14,Osprey Beach Hotel
Sabzevar,IR,87.46,clear sky,36.21,57.68,پارکینگ وسایل سنگین جنوب
Tuy Hoa,VN,79.5,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
Butterworth,MY,86.0,few clouds,5.4,100.36,Cititel Penang
Shahrud,IR,80.15,clear sky,36.42,54.98,Royal Hotel
Port-Cartier,CA,60.01,broken clouds,50.03,-66.87,Le Q'Artier
Ishigaki,JP,80.33,scattered clouds,24.34,124.16,Hotel Peace Land Ishigakijima
Keflavik,IS,53.6,mist,64.0,-22.56,Hotel Keflavik
Karratha,AU,69.85,clear sky,-20.74,116.85,ibis Styles Karratha
Taguatinga,BR,86.32,few clouds,-12.39,-46.57,
Lagoa,PT,58.82,scattered clouds,39.05,-27.98,Casa Das Faias
Santiago Del Estero,AR,69.48,clear sky,-27.8,-64.26,Hotel Urbano
